Org1,Org2,Org3,Org4,Org5,Position,count(*)
"인민군 총참모부",1군단,13사단,NA,NA,사단장,2
"인민군 총참모부",1군단,1사단,NA,NA,사단장,1
"인민군 총참모부",1군단,2사단,1연대,NA,연대장,1
"인민군 총참모부",1군단,NA,NA,NA,군단장,2
"인민군 총참모부",1군단,NA,NA,NA,정치위원,1
"인민군 총참모부",1집군단사령부,NA,NA,NA,사령관,2
"인민군 총참모부",1집군단사령부,NA,NA,NA,정치위원,1
"인민군 총참모부",1집군단사령부,NA,NA,NA,참모장,1
"인민군 총참모부",2군단,3사단,NA,NA,사단장,2
"인민군 총참모부",2군단,3사단,NA,NA,참모장,1
"인민군 총참모부",2군단,8사단,81연대,NA,연대장,1
"인민군 총참모부",2군단,NA,NA,NA,군단장,2
"인민군 총참모부",2군단,NA,NA,NA,부군단장,2
"인민군 총참모부",2집단군사령부,NA,NA,NA,참모장,1
"인민군 총참모부",3군단,NA,NA,NA,군단장,2
"인민군 총참모부",3군단,NA,NA,NA,참모장,1
"인민군 총참모부",4군단,NA,NA,NA,군단장,4
"인민군 총참모부",4군단,NA,NA,NA,부군단장,1
"인민군 총참모부",4군단,NA,NA,NA,정치부장,1
"인민군 총참모부",4군단,NA,NA,NA,정치위원,1
"인민군 총참모부",5군단,32사단,NA,NA,사단장,1
"인민군 총참모부",5군단,NA,NA,NA,군단장,5
"인민군 총참모부",5군단,NA,NA,NA,참모장,1
"인민군 총참모부",5집단군사령부,NA,NA,NA,사령관,1
"인민군 총참모부",5집단군사령부,NA,NA,NA,참모장,1
"인민군 총참모부",6군단,NA,NA,NA,군단장,1
"인민군 총참모부",7군단,10사단,25연대,NA,연대장,1
"인민군 총참모부",7군단,NA,NA,NA,군단장,1
"인민군 총참모부",8군단,NA,NA,NA,군단장,1
"인민군 총참모부",9군단,NA,NA,NA,군단장,2
"인민군 총참모부",NA,NA,NA,NA,부총참모장,10
"인민군 총참모부",NA,NA,NA,NA,제1부총참모장,1
"인민군 총참모부",NA,NA,NA,NA,총참모장,9
"인민군 총참모부",X군단,15사단,3연대,NA,연대장,1
"인민군 총참모부",X군단,15사단,"DMZ 민경중대",NA,근무,1
"인민군 총참모부",X군단,15사단,NA,NA,사단장,1
"인민군 총참모부",X군단,37사단,NA,NA,사단장,1
"인민군 총참모부",X군단,4사단,NA,NA,참모장,1
"인민군 총참모부",X군단,X사단,46연대,NA,연대장,1
"인민군 총참모부",X군단,X사단,NA,NA,사단장,1
"인민군 총참모부",X군단,X사단,X연대,NA,연대장,1
"인민군 총참모부",X군단,X사단,X연대,제525부대,사령관,1
"인민군 총참모부",X기계화군단,820전차군단,NA,NA,전차군단장,1
"인민군 총참모부",X기계화군단,820전차군단,NA,NA,정치위원,1
"인민군 총참모부",공군사령부,7사단,NA,NA,참모장,1
"인민군 총참모부",공군사령부,NA,NA,NA,부사령관,1
"인민군 총참모부",공군사령부,NA,NA,NA,사령관,5
"인민군 총참모부",공군사령부,NA,NA,NA,정치위원,1
"인민군 총참모부",공군사령부,NA,NA,NA,참모장,1
"인민군 총참모부",반항공군사령부,NA,NA,NA,사령관,1
"인민군 총참모부",평양방어사령부,NA,NA,NA,사령관,3
"인민군 총참모부",포병사령부,NA,NA,NA,사령관,2
"인민군 총참모부",해군사령부,NA,NA,NA,부사령관,1
"인민군 총참모부",해군사령부,NA,NA,NA,사령관,4
"인민군 총참모부",해군사령부,NA,NA,NA,참모장,1
"인민군 총참모부",해군사령부,서해함대사령부,NA,NA,사령관,1
